대여소 그룹,대여소명,대여일자,대여건수
마포구, 서교동 사거리,201701,246
광진구, 자양사거리 광진아크로텔 앞,201701,302
성동구, 금호 어울림 아파트 앞,201701,72
성동구, 성수아이에스비즈타워 앞,201701,169
성동구, 성수아카데미타워 앞,201701,156
성동구, 이마트 버스정류소 옆,201701,311
성동구, 서울숲 남문 버스정류소 옆,201701,52
성동구, 서울숲역 4번 출구 옆,201701,238
성동구, 뚝섬역 1번 출구 옆,201701,303
마포구, 제일빌딩 앞,201701,178
마포구, 상암한화오벨리스크 1차 앞,201701,124
성동구, 뚝섬역 5번 출구 정류소 옆,201701,181
성동구, 성수사거리 버스정류장 앞,201701,281
광진구, 광양중학교 앞,201701,75
광진구, 광진메디칼 앞,201701,170
중구, 정동사거리,201701,417
종로구, 경복궁역 7번출구 앞,201701,220
종로구, 경복궁역 4번출구 뒤,201701,353
종로구, 광화문역 1번출구 앞,201701,288
서대문구, 사루비아 빌딩 앞,201701,325
종로구, 광화문역 2번출구 앞,201701,187
종로구, 종로구청 옆,201701,305
종로구, 광화문역 7번출구 앞,201701,197
종로구, 서울역사박물관 앞,201701,297
종로구, 광화문 S타워 앞,201701,157
종로구, 광화문역 6번출구 옆,201701,165
중구, 청계광장 옆,201701,206
중구, 서울광장 옆,201701,445
중구, 시청역 1번출구 뒤,201701,413
종로구, 국립현대미술관,201701,420
종로구, 종각역 1번출구 앞,201701,386
중구, 광교사거리 남측,201701,183
중구, 을지로입구역 4번출구 앞,201701,286
중구, KEB 하나은행 본점 앞,201701,199
중구, 명동성당 앞,201701,138
서대문구, 일진아이윌아파트 옆,201701,338
중구, 신세계백화점 본점 앞,201701,238
종로구, 안국역 5번출구 앞,201701,392
종로구, 낙원상가 옆,201701,250
종로구, 탑골공원 앞,201701,507
종로구, 청계2가 사거리 옆,201701,329
중구, 을지로2가 사거리 북측,201701,152
중구, 을지로2가 사거리 남측,201701,181
마포구, 상수역 2번출구 앞,201701,233
종로구, 종로3가역 2번출구 뒤,201701,446
종로구, 종로3가역 15번출구 앞,201701,222
중구, 티마크 호텔 앞,201701,334
종로구, 창경궁 입구,201701,111
종로구, 세운스퀘어 앞,201701,457
종로구, 종로4가 사거리,201701,504
종로구, 혜화동 로터리,201701,370
종로구, 혜화역 3번출구 뒤,201701,352
종로구, 대학로 마로니에공원,201701,390
종로구, 예일빌딩(율곡로) 앞,201701,215
마포구, 극동방송국 앞,201701,282
종로구, 성균관대 E하우스 앞,201701,267
종로구, 서울보증보험본사 앞,201701,250
중구, 맥스타일 앞,201701,329
중구, 동대문역사문화공원역 9번출구 앞,201701,284
종로구, 사직동주민센터,201701,293
종로구, 청운초교 앞 삼거리,201701,204
종로구, 중앙고입구 삼거리,201701,139
종로구, 재동초교 앞 삼거리,201701,133
서대문구, 홍은사거리,201701,137
종로구, 포르투갈 대사관 앞,201701,317
종로구, 서울사대부속초교 앞,201701,223
종로구, KT혜화지사 앞,201701,217
종로구, 성대입구 사거리,201701,659
종로구, 원남동사거리,201701,188
종로구, 동묘앞역 1번출구 뒤,201701,233
종로구, 청계8가 사거리,201701,300
종로구, 신설동역 11번출구 뒤,201701,112
종로구, 창신역 1번출구 앞,201701,166
마포구, 홍대입구역 2번출구 앞,201701,950
종로구, 독립문역 3-1번출구 ,201701,133
종로구, SK 서린빌딩 앞,201701,195
종로구, 광화문 시민열린마당,201701,221
종로구, 독립문역 사거리,201701,141
중구, 시청역(2호선) 9번출구 뒤,201701,174
중구, 동대입구역 6번출구 뒤,201701,145
중구, 약수역 3번출구 뒤,201701,87
중구, 청구 어린이공원,201701,19
중구, 청구역 2번출구 앞,201701,160
마포구, 광흥창역 2번출구 앞,201701,329
중구, 다산 어린이공원,201701,171
중구, 청계7가 사거리,201701,202
중구, 서울역9번출구,201701,73
중구, CJ제일제당 앞,201701,183
중구, 장충체육관,201701,44
중구, 약수역 10번출구 앞,201701,78
중구, 신당역 12번 출구 뒤,201701,304
중구, 종로학원본원 ,201701,92
마포구, 홍대입구역 8번출구 앞,201701,467
마포구, 아현역 4번출구 앞,201701,178
마포구, 공덕역 2번출구,201701,193
마포구, 공덕역 8번출구,201701,315
마포구, 공덕역 5번출구,201701,177
마포구, 마포역 1번출구 뒤,201701,255
마포구, 마포역 4번출구 뒤,201701,194
마포구, 용강동 주민센터 앞,201701,176
마포구, 서강대역 2번출구 앞,201701,194
마포구, 망원1동주민센터,201701,104
마포구, 마포구민체육센터 앞,201701,253
마포구, 서강나루 공원,201701,267
마포구, 성산2교 사거리,201701,293
마포구, 마포구청역 ,201701,235
마포구, 가좌역1 번출구 뒤,201701,110
마포구, 서울서부지방법원 앞,201701,169
마포구, 애오개역 4번출구 앞,201701,284
서대문구, 독립문 어린이 공원,201701,127
서대문구, 이대역 4번 출구,201701,182
서대문구, 북아현동 가구거리,201701,153
서대문구, 무악재역1번 출구,201701,56
서대문구, 봉원고가차도 밑,201701,328
마포구, 신수동 사거리,201701,107
서대문구, 명지전문대학교 정문 앞,201701,71
서대문구, 북가좌1동 주민센터 ,201701,118
서대문구, 중앙근린공원,201701,141
서대문구, 가재울 초등학교,201701,212
서대문구, 연가초등학교 옆,201701,88
서대문구, 북가좌 삼거리,201701,111
서대문구, 가재울 뉴타운 주유소 옆,201701,180
서대문구, 임광빌딩 앞,201701,228
마포구, 마포소방서 앞,201701,205
서대문구, 서대문역 8번출구 앞,201701,178
서대문구, 홍연2교옆,201701,254
서대문구, 가좌역 4번출구 앞,201701,185
서대문구, 충정로역 7번출구 뒤,201701,189
성동구, 청계천 박물관 앞,201701,54
성동구, 양지사거리,201701,152
성동구, 상왕십리역 4번 출구 앞,201701,189
성동구, 왕십리역 11번 출구 앞,201701,158
성동구, 금호역 1번출구 앞,201701,47
성동구, 옥수동성당 옆,201701,6
마포구, 신성기사식당 앞,201701,233
성동구, 래미안금호하이리버 아파트 102동 옆,201701,48
성동구, 한양대병원사거리,201701,201
성동구, 용답토속공원 앞,201701,172
성동구, 장한평역 8번 출구 앞,201701,311
성동구, 청계벽산아파트 앞,201701,145
성동구, 우리은행 금호동 지점 앞,201701,13
성동구, 금호사거리,201701,53
성동구, 응봉삼거리,201701,123
성동구, 행당역 2번출구 앞,201701,162
성동구, 한양대후문역 부근,201701,187
서대문구, 문화촌 공원,201701,84
성동구, 답십리역 8번출구 앞,201701,168
성동구, 서울시설공단 앞,201701,132
광진구, 군자교교차로,201701,63
광진구, 군자역 7번출구 베스트샵 앞,201701,342
광진구, 강변역 4번출구 뒤,201701,102
광진구, 구의공원(테크노마트 앞),201701,98
광진구, 광남중학교,201701,54
광진구, 잠실대교북단 교차로,201701,117
광진구, 자양나들목,201701,201
광진구, 아차산역 3번출구,201701,224
마포구, 서강대 정문 건너편,201701,342
동대문구, 휘경2동 주민센터,201701,129
동대문구, 용신동주민센터,201701,91
동대문구, 장안동 사거리,201701,309
동대문구, 답십리초등학교 옆 공원,201701,82
동대문구, 신설동역8번출구,201701,65
동대문구, 휘경공고앞,201701,15
동대문구, 신이문역 2번출구,201701,65
동대문구, 전농삼성아파트,201701,90
동대문구, 제기2교,201701,190
마포구, 서강대 남문 옆,201701,312
동대문구, 동대문중 교차로,201701,139
동대문구, 시립동부병원 앞 사거리,201701,135
동대문구, 신설동역 10번출구 앞,201701,230
동대문구, 용두동 사거리,201701,224
동대문구, 용두동 레미안허브리츠아파트 앞,201701,145
동대문구, 서울시립대 앞,201701,99
동대문구, 청솔우성아파트 앞,201701,139
영등포구, 양평2나들목 보행통로 입구,201701,94
영등포구, 선유도역 3번출구 앞,201701,187
영등포구, 양평1 보행육교 앞,201701,195
마포구, 서강대 후문 옆,201701,473
영등포구, 남부고용노동지청 남측,201701,104
영등포구, 양평우림 이비즈센타 앞,201701,411
영등포구, YP 센터 앞,201701,23
영등포구, 영등포구민체육센터 앞,201701,80
영등포구, 신길동 우리은행 옆,201701,88
영등포구, 문래동자이아파트 앞,201701,71
동작구, 보라매 두산위브 건너편,201701,126
영등포구, 제2구민체육센타 앞,201701,254
영등포구, 유스호스텔 앞,201701,207
영등포구, 문래역 4번출구 앞,201701,193
마포구, 현대벤처빌 앞,201701,175
영등포구, 신길우성1차아파트 앞 공원,201701,70
영등포구, 신길선원가와인아파트 앞,201701,126
영등포구, 이앤씨드림타워 앞,201701,97
영등포구, 영등포삼환아파트 앞,201701,246
영등포구, 삼성생명 당산사옥 앞,201701,139
영등포구, 당산역 10번출구 앞,201701,334
영등포구, 초원아파트 앞,201701,99
영등포구, 여의도중학교 옆,201701,60
영등포구, 대림아파트 사거리,201701,66
영등포구, 서울지방병무청 버스정류장,201701,62
마포구, (구)합정동 주민센터,201701,102
서대문구, 신촌역(2호선) 1번출구 옆,201701,330
영등포구, 보라매역4번출구,201701,113
영등포구, 신풍역 5번출구 인근,201701,215
영등포구, 도림신협 앞,201701,53
영등포구, 도림4거리,201701,95
영등포구, 동아에코빌입구,201701,51
영등포구, 신길삼거리(우리은행),201701,158
영등포구, 신길역3번출구,201701,152
영등포구, 대방역6번출구,201701,354
양천구, KB국민은행 염창역 지점 앞,201701,75
양천구, 목동사거리 부근,201701,23
마포구, 신촌역(2호선) 6번출구 옆,201701,232
양천구, 목4동주민센터 옆,201701,28
양천구, 오목교역 7번출구 앞,201701,255
양천구, 남부법원검찰청 교차로,201701,97
양천구, 신정네거리역,201701,80
양천구, 신정3동주민센터,201701,57
양천구, 서울출입국관리사무소 앞,201701,186
양천구, 신정3동 현장민원실 앞,201701,35
양천구, 서부화물트럭터미널 사거리,201701,48
양천구, 신일해피트리아파트 앞,201701,60
양천구, 강월초교입구 사거리,201701,16
마포구, 신촌역(2호선) 7번출구 앞,201701,257
양천구, 양서중학교 옆,201701,13
양천구, 한국SGI 양천문화회관 앞,201701,12
용산구, 목월공원 앞,201701,161
용산구, 한강진역 2번 출구 앞,201701,94
용산구, 한남초교 앞 보도육교,201701,24
용산구, 문배어린이공원 앞,201701,144
용산구, 전자랜드 본관 앞,201701,117
용산구, 서울역 12번 출구 앞,201701,82
용산구, 서빙고동 금호맨션 앞,201701,22
서대문구, 증산2교,201701,103
용산구, 한남 유수지 복개주차장,201701,103
용산구, 이태원지하보도,201701,71
용산구, 녹사평역1번출구,201701,227
용산구, 용산전쟁기념관,201701,50
용산구, 삼각지역 3번출구,201701,84
용산구, LIG강촌아파트 103동앞,201701,65
종로구, 종각역 5번출구,201701,329
중구, 훈련원공원주차장 앞,201701,118
마포구, 망원초록길 입구,201701,35
마포구, 망원2빗물펌프장 앞,201701,149
마포구, 하늘채코오롱아파트 건너편,201701,436
마포구, SK망원동주유소 건너편,201701,233
마포구, 마포 신수공원 앞,201701,244
마포구, 월드컵공원,201701,134
서대문구, 북가좌 초등학교,201701,62
서대문구, 홍은동 정원여중 입구,201701,94
서대문구, 정명학원,201701,57
서대문구, 연서어린이공원,201701,74
서대문구, 증산3교 앞,201701,56
서대문구, 해담는다리,201701,105
서대문구, 증산교 앞,201701,212
서대문구, 모래내고가차도 ,201701,203
서대문구, 연희교차로 인근,201701,94
서대문구, 충정2교,201701,86
성동구, 달맞이공원,201701,30
성동구, 도선동 주민센터 앞,201701,166
성동구, 성동광진 교육지원청 앞,201701,195
서대문구, 연세로 명물길,201701,104
성동구, 왕십리역 4번 출구 건너편,201701,216
성동구, 비전교회 앞,201701,135
성동구, 서울숲역 2번출구 앞,201701,221
성동구, 군자지하보도 앞,201701,177
성동구, 성동세무서 건너편,201701,179
성동구, 금호역 3번출구,201701,15
성동구, 옥수역 3번출구,201701,157
성동구, 성수역 2번출구 앞,201701,463
성동구, 청계8가사거리 부근,201701,395
서대문구, 명물길 원형무대 앞,201701,98
성동구, 응봉현대아파트 정류소,201701,84
성동구, 성동세무서 부근,201701,174
성동구, 마장역 4번출구,201701,166
성동구, 용답초등학교,201701,120
성동구, 경일중학교 앞,201701,137
성동구, 청계천 생태교실 앞,201701,112
광진구, 구의삼성쉐르빌 앞,201701,197
광진구, 대림아크로리버 앞,201701,44
광진구, 중곡 성원APT 앞,201701,113
마포구, 대흥동 주민센터,201701,127
광진구, 구의3동주민센터,201701,31
광진구, 어린이대공원역6번출구,201701,230
광진구, 국립정신 건강센터 앞,201701,86
광진구, 구의문주차장 앞,201701,307
광진구, 아차산역4번출구,201701,139
광진구, 중앙농협 중곡지점,201701,22
광진구, 광나루역 3번 출구,201701,105
